LabelforTranslation,de,en_GB,en_MX,en_US,SLNo,pt_BR,pl,fr,es,Display
%RTMP Churn  Vs Retained Accounts,%RTMP Churn  Vs Retained Accounts,%RTMP Churn  Vs Retained Accounts,%RTMP Churn  Vs Retained Accounts,%RTMP Churn  Vs Retained Accounts,105,"% de Rotatividade de RTMP vs Contas Retidas  ",%RTMP Churn  Vs Retained Accounts,%RTMP Churn  Vs Retained Accounts,%RTMP Churn  Vs Retained Accounts,%RTMP Churn  Vs Retained Accounts
%RTMP Acquired Accounts,%RTMP Acquired Accounts,%RTMP Acquired Accounts,%RTMP Acquired Accounts,%RTMP Acquired Accounts,106,"% de Contas de RTMP Adquiridas  ",%RTMP Acquired Accounts,%RTMP Acquired Accounts,%RTMP Acquired Accounts,%RTMP Acquired Accounts
Percent,Percent,Percent,Percent,Percent,107,"Porcentagem  ",Percent,Percent,Percent,Percent
Type,Type,Type,Type,Type,108,"Tipo  ",Type,Type,Type,Type
% Acquired Accounts,% Acquired Accounts,% Acquired Accounts,% Acquired Accounts,% Acquired Accounts,109,"% de Contas Adquiridas  ",% Acquired Accounts,% Acquired Accounts,% Acquired Accounts,% Acquired Accounts
% Retained Accounts,% Retained Accounts,% Retained Accounts,% Retained Accounts,% Retained Accounts,110,"% de Contas Retidas  ",% Retained Accounts,% Retained Accounts,% Retained Accounts,% Retained Accounts
% Churned Accounts,% Churned Accounts,% Churned Accounts,% Churned Accounts,% Churned Accounts,111,"% de Contas Perdidas  ",% Churned Accounts,% Churned Accounts,% Churned Accounts,% Churned Accounts
PROGRESSION TO TARGETS,PROGRESSION TO TARGETS,PROGRESSION TO TARGETS,PROGRESSION TO TARGETS,PROGRESSION TO TARGETS,112,"PROGRESSÃO PARA AS METAS  ",PROGRESSION TO TARGETS,PROGRESSION TO TARGETS,PROGRESSION TO TARGETS,PROGRESSION TO TARGETS
Sell In,Sell In,Sell In,Sell In,Sell In,113,Vender Interno,Sell In,Sell In,Sell In,Sell In
Sell Out,Sell Out,Sell Out,Sell Out,Sell Out,114,Vender Externo,Sell Out,Sell Out,Sell Out,Sell Out
User,User,User,User,User,115,Usuário,User,User,User,User
Status_List__c,Status_List__c,Status_List__c,Status_List__c,Status_List__c,116,"Status_List__c  ",Status_List__c,Status_List__c,Status_List__c,Status_List__c
% Accounts,% Accounts,% Accounts,% Accounts,% Accounts,117,"% de Contas  ",% Accounts,% Accounts,% Accounts,% Accounts
Total Orders Vs Target % Calculation,Total Orders Vs Target % Calculation,Total Orders Vs Target % Calculation,Total Orders Vs Target % Calculation,Total Orders Vs Target % Calculation,118,"Total de Pedidos vs Cálculo da Meta %  ",Total Orders Vs Target % Calculation,Total Orders Vs Target % Calculation,Total Orders Vs Target % Calculation,Total Orders Vs Target % Calculation
"Percent of Territory Target Achieved by ","Percent of Territory Target Achieved by ","Percent of Territory Target Achieved by ","Percent of Territory Target Achieved by ","Percent of Territory Target Achieved by ",119,Porcentagem de Meta do Território Alcançada por,"Percent of Territory Target Achieved by ","Percent of Territory Target Achieved by ","Percent of Territory Target Achieved by ","Percent of Territory Target Achieved by "
For Row Crops,For Row Crops,For Row Crops,For Row Crops,For Row Crops,120,"Para Culturas de Linha  ",For Row Crops,For Row Crops,For Row Crops,For Row Crops
For Crop Protection,For Crop Protection,For Crop Protection,For Crop Protection,For Crop Protection,121,Para Proteção de Culturas,For Crop Protection,For Crop Protection,For Crop Protection,For Crop Protection
"FORECASTS,PLANS & ACTUALS","FORECASTS,PLANS & ACTUALS","FORECASTS,PLANS & ACTUALS","FORECASTS,PLANS & ACTUALS","FORECASTS,PLANS & ACTUALS",122,PREVISÕES,"FORECASTS,PLANS & ACTUALS","FORECASTS,PLANS & ACTUALS","FORECASTS,PLANS & ACTUALS","FORECASTS,PLANS & ACTUALS"
Product Group,Product Group,Product Group,Product Group,Product Group,123,"Grupo de Produtos  ",Product Group,Product Group,Product Group,Product Group
View FSR Sales Plan Usage Report,View FSR Sales Plan Usage Report,View FSR Sales Plan Usage Report,View FSR Sales Plan Usage Report,View FSR Sales Plan Usage Report,124,"Ver Relatório de Uso do Plano de Vendas FSR  ",View FSR Sales Plan Usage Report,View FSR Sales Plan Usage Report,View FSR Sales Plan Usage Report,View FSR Sales Plan Usage Report
Sell In Growth Plan,Sell In Growth Plan,Sell In Growth Plan,Sell In Growth Plan,Sell In Growth Plan,125,Plano de Crescimento de Vendas Interno,Sell In Growth Plan,Sell In Growth Plan,Sell In Growth Plan,Sell In Growth Plan
Sell Out Growth Plan,Sell Out Growth Plan,Sell Out Growth Plan,Sell Out Growth Plan,Sell Out Growth Plan,126,Plano de Crescimento de Vendas Externo,Sell Out Growth Plan,Sell Out Growth Plan,Sell Out Growth Plan,Sell Out Growth Plan
Select Segmentation,Select Segmentation,Select Segmentation,Select Segmentation,Select Segmentation,127,"Selecione Segmentação  ",Select Segmentation,Select Segmentation,Select Segmentation,Select Segmentation
Classification,Classification,Classification,Classification,Classification,128,"Classificação  ",Classification,Classification,Classification,Classification
Prioritization,Prioritization,Prioritization,Prioritization,Prioritization,129,"Priorização  ",Prioritization,Prioritization,Prioritization,Prioritization
Segmentation,Segmentation,Segmentation,Segmentation,Segmentation,130,"Segmentação  ",Segmentation,Segmentation,Segmentation,Segmentation
Value,Value,Value,Value,Value,131,"Valor  ",Value,Value,Value,Value
Number of Engagement Programs,Number of Engagement Programs,Number of Engagement Programs,Number of Engagement Programs,Number of Engagement Programs,132,"Número de Plano de Ação ",Number of Engagement Programs,Number of Engagement Programs,Number of Engagement Programs,Number of Engagement Programs
Engagement Activities,Engagement Activities,Engagement Activities,Engagement Activities,Engagement Activities,133,Atividades de Plano de Ação,Engagement Activities,Engagement Activities,Engagement Activities,Engagement Activities
" By Product"," By Product"," By Product"," By Product"," By Product",134,"Por Produto  "," By Product"," By Product"," By Product"," By Product"
" By Account & Account Classification"," By Account & Account Classification"," By Account & Account Classification"," By Account & Account Classification"," By Account & Account Classification",135,"Por Conta e Classificação de Conta  "," By Account & Account Classification"," By Account & Account Classification"," By Account & Account Classification"," By Account & Account Classification"
" By Account & Account Level Prioritization"," By Account & Account Level Prioritization"," By Account & Account Level Prioritization"," By Account & Account Level Prioritization"," By Account & Account Level Prioritization",136,"Por Conta e Priorização de Nível de Conta  "," By Account & Account Level Prioritization"," By Account & Account Level Prioritization"," By Account & Account Level Prioritization"," By Account & Account Level Prioritization"
" By Product"," By Product"," By Product"," By Product"," By Product",137,"Por Produto  "," By Product"," By Product"," By Product"," By Product"
Metric,Metric,Metric,Metric,Metric,138,Métrico,Metric,Metric,Metric,Metric
Product Name,Product Name,Product Name,Product Name,Product Name,139,Nome do Producto,Product Name,Product Name,Product Name,Product Name
Number of Surveys,Number of Surveys,Number of Surveys,Number of Surveys,Number of Surveys,140,Número de Questionarios,Number of Surveys,Number of Surveys,Number of Surveys,Number of Surveys
Number of Accounts,Number of Accounts,Number of Accounts,Number of Accounts,Number of Accounts,141,Número de Contas,Number of Accounts,Number of Accounts,Number of Accounts,Number of Accounts
Engagement Programs,Engagement Programs,Engagement Programs,Engagement Programs,Engagement Programs,142,Plano de Ação,Engagement Programs,Engagement Programs,Engagement Programs,Engagement Programs
Numbers of Resources,Numbers of Resources,Numbers of Resources,Numbers of Resources,Numbers of Resources,143,Número de Recursos,Numbers of Resources,Numbers of Resources,Numbers of Resources,Numbers of Resources
Sales Progression By Month -,Sales Progression By Month -,Sales Progression By Month -,Sales Progression By Month -,Sales Progression By Month -,144,Progresso de Vendas por Mês,Sales Progression By Month -,Sales Progression By Month -,Sales Progression By Month -,Sales Progression By Month -
Product Mix,Product Mix,Product Mix,Product Mix,Product Mix,145,"Mix de Produtos  ",Product Mix,Product Mix,Product Mix,Product Mix
Brand Percentage in Future Season forecast and Sales Plan,Brand Percentage in Future Season forecast and Sales Plan,Brand Percentage in Future Season forecast and Sales Plan,Brand Percentage in Future Season forecast and Sales Plan,Brand Percentage in Future Season forecast and Sales Plan,146,"Porcentagem de Marca na Previsão de Temporada Futura e Plano de Vendas  ",Brand Percentage in Future Season forecast and Sales Plan,Brand Percentage in Future Season forecast and Sales Plan,Brand Percentage in Future Season forecast and Sales Plan,Brand Percentage in Future Season forecast and Sales Plan
By Account & Account Classification,By Account & Account Classification,By Account & Account Classification,By Account & Account Classification,By Account & Account Classification,147,"Por Conta e Classificação de Conta  ",By Account & Account Classification,By Account & Account Classification,By Account & Account Classification,By Account & Account Classification
By Account & Account Level Prioritization,By Account & Account Level Prioritization,By Account & Account Level Prioritization,By Account & Account Level Prioritization,By Account & Account Level Prioritization,148,"Por Conta e Priorização de Nível de Conta  ",By Account & Account Level Prioritization,By Account & Account Level Prioritization,By Account & Account Level Prioritization,By Account & Account Level Prioritization
By Product,By Product,By Product,By Product,By Product,149,"Por Produto  ",By Product,By Product,By Product,By Product
PROGRESS TO TARGET,PROGRESS TO TARGET,PROGRESS TO TARGET,PROGRESS TO TARGET,PROGRESS TO TARGET,150,"PROGRESSO PARA A META  ",PROGRESS TO TARGET,PROGRESS TO TARGET,PROGRESS TO TARGET,PROGRESS TO TARGET
PROGRESS TO TARGETS,PROGRESS TO TARGETS,PROGRESS TO TARGETS,PROGRESS TO TARGETS,PROGRESS TO TARGETS,151,"PROGRESSO PARA AS METAS  ",PROGRESS TO TARGETS,PROGRESS TO TARGETS,PROGRESS TO TARGETS,PROGRESS TO TARGETS
SIP Target,SIP Target,SIP Target,SIP Target,SIP Target,152,"Meta SIP  ",SIP Target,SIP Target,SIP Target,SIP Target
Progress to SIP Target,Progress to SIP Target,Progress to SIP Target,Progress to SIP Target,Progress to SIP Target,153,"Progresso Para Meta SIP  ",Progress to SIP Target,Progress to SIP Target,Progress to SIP Target,Progress to SIP Target
View Climate Report,View Climate Report,View Climate Report,View Climate Report,View Climate Report,154,"Ver Relatório Climate  ",View Climate Report,View Climate Report,View Climate Report,View Climate Report
Select Dataset(s) to Visualize,Select Dataset(s) to Visualize,Select Dataset(s) to Visualize,Select Dataset(s) to Visualize,Select Dataset(s) to Visualize,155,"Slecione o Conjunto de Dados para Visualizar  ",Select Dataset(s) to Visualize,Select Dataset(s) to Visualize,Select Dataset(s) to Visualize,Select Dataset(s) to Visualize
% Farmer Customer Acquired Net Sales,% Farmer Customer Acquired Net Sales,% Farmer Customer Acquired Net Sales,% Farmer Customer Acquired Net Sales,% Farmer Customer Acquired Net Sales,156,"% de Vendas Líquidas de Clientes Agrícolas Adquiridas  ",% Farmer Customer Acquired Net Sales,% Farmer Customer Acquired Net Sales,% Farmer Customer Acquired Net Sales,% Farmer Customer Acquired Net Sales
%RTMP Acquired Net Sales,%RTMP Acquired Net Sales,%RTMP Acquired Net Sales,%RTMP Acquired Net Sales,%RTMP Acquired Net Sales,157,"% de Vendas Líquidas Adquiridas de RTMP  ",%RTMP Acquired Net Sales,%RTMP Acquired Net Sales,%RTMP Acquired Net Sales,%RTMP Acquired Net Sales
Farmer Customer Sales Gain vs Lost%,Farmer Customer Sales Gain vs Lost%,Farmer Customer Sales Gain vs Lost%,Farmer Customer Sales Gain vs Lost%,Farmer Customer Sales Gain vs Lost%,158,"Ganho de Vendas vs Perda de Agricultor ",Farmer Customer Sales Gain vs Lost%,Farmer Customer Sales Gain vs Lost%,Farmer Customer Sales Gain vs Lost%,Farmer Customer Sales Gain vs Lost%
RTM Partner Sales Gain vs Lost%,RTM Partner Sales Gain vs Lost%,RTM Partner Sales Gain vs Lost%,RTM Partner Sales Gain vs Lost%,RTM Partner Sales Gain vs Lost%,159,"Ganho de Vendas vs Perda de Parceiros RTMP  ",RTM Partner Sales Gain vs Lost%,RTM Partner Sales Gain vs Lost%,RTM Partner Sales Gain vs Lost%,RTM Partner Sales Gain vs Lost%
Brand Percentage in In-Season Forecast and Commercial Agreement,Brand Percentage in In-Season Forecast and Commercial Agreement,Brand Percentage in In-Season Forecast and Commercial Agreement,Brand Percentage in In-Season Forecast and Commercial Agreement,Brand Percentage in In-Season Forecast and Commercial Agreement,160,"Porcentagem de Marca na Previsão de Temporada e Acordo Comercial  ",Brand Percentage in In-Season Forecast and Commercial Agreement,Brand Percentage in In-Season Forecast and Commercial Agreement,Brand Percentage in In-Season Forecast and Commercial Agreement,Brand Percentage in In-Season Forecast and Commercial Agreement
EIB Accounts With No Engagement Programs,EIB Accounts With No Engagement Programs,EIB Accounts With No Engagement Programs,EIB Accounts With No Engagement Programs,EIB Accounts With No Engagement Programs,161,Contas EIB Sem Plano de Ação,EIB Accounts With No Engagement Programs,EIB Accounts With No Engagement Programs,EIB Accounts With No Engagement Programs,EIB Accounts With No Engagement Programs
Back,Back,Back,Back,Back,162,"Voltar  ",Back,Back,Back,Back
Account,Account,Account,Account,Account,163,"Conta  ",Account,Account,Account,Account
Territory,Territory,Territory,Territory,Territory,164,"Território  ",Territory,Territory,Territory,Territory
Coverage Role,Coverage Role,Coverage Role,Coverage Role,Coverage Role,165,"Função de Cobertura  ",Coverage Role,Coverage Role,Coverage Role,Coverage Role
User Name,User Name,User Name,User Name,User Name,166,"Nome de Usuário  ",User Name,User Name,User Name,User Name
Climate Report,Climate Report,Climate Report,Climate Report,Climate Report,167,"Relatório Climate  ",Climate Report,Climate Report,Climate Report,Climate Report
District,District,District,District,District,168,"Distrito  ",District,District,District,District
Market Year,Market Year,Market Year,Market Year,Market Year,169,Ano Calendário,Market Year,Market Year,Market Year,Market Year
SIP Target Group,SIP Target Group,SIP Target Group,SIP Target Group,SIP Target Group,170,"Grupo Alvo SIP  ",SIP Target Group,SIP Target Group,SIP Target Group,SIP Target Group
Active Users,Active Users,Active Users,Active Users,Active Users,171,"Usuários Ativos  ",Active Users,Active Users,Active Users,Active Users
Active Users with Qualifying Data,Active Users with Qualifying Data,Active Users with Qualifying Data,Active Users with Qualifying Data,Active Users with Qualifying Data,172,"Usuários Ativos com Dados Qualificáveis  ",Active Users with Qualifying Data,Active Users with Qualifying Data,Active Users with Qualifying Data,Active Users with Qualifying Data
FSR Engagement Program Usage,FSR Engagement Program Usage,FSR Engagement Program Usage,FSR Engagement Program Usage,FSR Engagement Program Usage,173,"Uso do Plano de Ação FSR  ",FSR Engagement Program Usage,FSR Engagement Program Usage,FSR Engagement Program Usage,FSR Engagement Program Usage
Created Sales Plan Yes,Created Sales Plan Yes,Created Sales Plan Yes,Created Sales Plan Yes,Created Sales Plan Yes,174,"Plano de Vendas Criado: Sim  ",Created Sales Plan Yes,Created Sales Plan Yes,Created Sales Plan Yes,Created Sales Plan Yes
Created Sales Plan No,Created Sales Plan No,Created Sales Plan No,Created Sales Plan No,Created Sales Plan No,175,"Plano de Vendas Criado: Não  ",Created Sales Plan No,Created Sales Plan No,Created Sales Plan No,Created Sales Plan No
% Created Sales Plan,% Created Sales Plan,% Created Sales Plan,% Created Sales Plan,% Created Sales Plan,176,"% de Planos de Vendas Criados  ",% Created Sales Plan,% Created Sales Plan,% Created Sales Plan,% Created Sales Plan
Engagement Programs Planned,Engagement Programs Planned,Engagement Programs Planned,Engagement Programs Planned,Engagement Programs Planned,177,"Plano de Ação Planejados  ",Engagement Programs Planned,Engagement Programs Planned,Engagement Programs Planned,Engagement Programs Planned
FSR Name,FSR Name,FSR Name,FSR Name,FSR Name,178,"Nome do FSR  ",FSR Name,FSR Name,FSR Name,FSR Name
Used Engagement Programs,Used Engagement Programs,Used Engagement Programs,Used Engagement Programs,Used Engagement Programs,179,"Plano de Ação Utilizados  ",Used Engagement Programs,Used Engagement Programs,Used Engagement Programs,Used Engagement Programs
Created Sales Plan,Created Sales Plan,Created Sales Plan,Created Sales Plan,Created Sales Plan,180,"Plano de Vendas Criado  ",Created Sales Plan,Created Sales Plan,Created Sales Plan,Created Sales Plan
FSR Sales Plan Usage,FSR Sales Plan Usage,FSR Sales Plan Usage,FSR Sales Plan Usage,FSR Sales Plan Usage,181,"Uso do Plano de Vendas FSR  ",FSR Sales Plan Usage,FSR Sales Plan Usage,FSR Sales Plan Usage,FSR Sales Plan Usage
Actuals,Net Sales,Net Sales,Net Sales,Net Sales,182,Realizados,Net Sales,Net Sales,Net Sales,Net Sales
CY Actuals,CY Net Sales,CY Net Sales,CY Net Sales,CY Net Sales,183,Realizações do CY,CY Net Sales,CY Net Sales,CY Net Sales,CY Net Sales
PY Actuals,PY Net Sales,PY Net Sales,PY Net Sales,PY Net Sales,184,Realizações do PY,PY Net Sales,PY Net Sales,PY Net Sales,PY Net Sales
Sales Plan,Sales Plan,Sales Plan,Sales Plan,Sales Plan,185,Plano de Vendas,Sales Plan,Sales Plan,Sales Plan,Sales Plan
CY Sales Plan,Sales Plan,Sales Plan,Sales Plan,Sales Plan,186,Plano de Vendas do CY,Sales Plan,Sales Plan,Sales Plan,Sales Plan
ISF,In-Season Forecast,In-Season Forecast,In-Season Forecast,In-Season Forecast,187,ISF,In-Season Forecast,In-Season Forecast,In-Season Forecast,In-Season Forecast
In-Season Forecast,In-Season Forecast,In-Season Forecast,In-Season Forecast,In-Season Forecast,188,Previsão na Temporada,In-Season Forecast,In-Season Forecast,In-Season Forecast,In-Season Forecast
In-Season Forecast Progression,In-Season Forecast Progression,In-Season Forecast Progression,In-Season Forecast Progression,In-Season Forecast Progression,189,Progresso na Previsão na Temporada,In-Season Forecast Progression,In-Season Forecast Progression,In-Season Forecast Progression,In-Season Forecast Progression
FSF,Future Season Forecast,Future Season Forecast,Future Season Forecast,Future Season Forecast,190,Previsão vendas Futuras,Future Season Forecast,Future Season Forecast,Future Season Forecast,Future Season Forecast
Target,Target,Target,Target,Target,191,Meta,Target,Target,Target,Target
CY Target,Target,Target,Target,Target,192,Meta do CY,Target,Target,Target,Target
Ending Inventory,Ending Inventory,Ending Inventory,Ending Inventory,Ending Inventory,193,Inventário Final,Ending Inventory,Ending Inventory,Ending Inventory,Ending Inventory
Forecasted Inventory,Forecasted Inventory,Forecasted Inventory,Forecasted Inventory,Forecasted Inventory,194,Inventário Previsto,Forecasted Inventory,Forecasted Inventory,Forecasted Inventory,Forecasted Inventory
Inventory Actuals,Inventory Actuals,Inventory Actuals,Inventory Actuals,Inventory Actuals,195,Inventário Real,Inventory Actuals,Inventory Actuals,Inventory Actuals,Inventory Actuals
Commercial Agreement,Commercial Agreement,Commercial Agreement,Commercial Agreement,Commercial Agreement,196,Acordo Comercial,Commercial Agreement,Commercial Agreement,Commercial Agreement,Commercial Agreement
Number of Offers,Number of Offers,Number of Offers,Number of Offers,Number of Offers,197,Número de Pedidos,Number of Offers,Number of Offers,Number of Offers,Number of Offers
Registered in Loyalty Offers,Registered in Loyalty Offers,Registered in Loyalty Offers,Registered in Loyalty Offers,Registered in Loyalty Offers,198,Registrado em Pedidos de Loyalty,Registered in Loyalty Offers,Registered in Loyalty Offers,Registered in Loyalty Offers,Registered in Loyalty Offers
PY Net Sales YTD,PY Net Sales YTD,PY Net Sales YTD,PY Net Sales YTD,PY Net Sales YTD,199,Vendas Líquidas PY YTD,PY Net Sales YTD,PY Net Sales YTD,PY Net Sales YTD,PY Net Sales YTD
FSF,FSF,FSF,FSF,FSF,200,Previsão vendas Futuras,FSF,FSF,FSF,FSF
PY-1 Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,201,Vendas Líquidas Ano-1,Net Sales,Net Sales,Net Sales,Net Sales
ACCOUNT CHURN & RETENTION,ACCOUNT CHURN & RETENTION,ACCOUNT CHURN & RETENTION,ACCOUNT CHURN & RETENTION,ACCOUNT CHURN & RETENTION,202,"ROTATIVIDADE E RETENCAO DE CONTAS  ",ACCOUNT CHURN & RETENTION,ACCOUNT CHURN & RETENTION,ACCOUNT CHURN & RETENTION,ACCOUNT CHURN & RETENTION
Total Orders,Total Orders,Total Orders,Total Orders,Total Orders,203,Total Pedidos,Total Orders,Total Orders,Total Orders,Total Orders
ProductGroup,ProductGroup,ProductGroup,ProductGroup,ProductGroup,204,ProductGroup,ProductGroup,ProductGroup,ProductGroup,ProductGroup
MonthName,MonthName,MonthName,MonthName,MonthName,205,MonthName,MonthName,MonthName,MonthName,MonthName
Number of EIB Accounts with No Engagement Programs,Number of EIB Accounts with No Engagement Programs,Number of EIB Accounts with No Engagement Programs,Number of EIB Accounts with No Engagement Programs,Number of EIB Accounts with No Engagement Programs,206,Number of EIB Accounts with No Engagement Programs,Number of EIB Accounts with No Engagement Programs,Number of EIB Accounts with No Engagement Programs,Number of EIB Accounts with No Engagement Programs,Number of EIB Accounts with No Engagement Programs
Campaign.Name,Campaign.Name,Campaign.Name,Campaign.Name,Campaign.Name,207,Campaign.Name,Campaign.Name,Campaign.Name,Campaign.Name,Campaign.Name
Product Name,Product Name,Product Name,Product Name,Product Name,208,Product Name,Product Name,Product Name,Product Name,Product Name
Engagement Programs by,Engagement Programs by,Engagement Programs by,Engagement Programs by,Engagement Programs by,209,Engagement Programs by,Engagement Programs by,Engagement Programs by,Engagement Programs by,Engagement Programs by
Engagement Activities by,Engagement Activities by,Engagement Activities by,Engagement Activities by,Engagement Activities by,210,Engagement Activities by,Engagement Activities by,Engagement Activities by,Engagement Activities by,Engagement Activities by
Engagement Activity Status by,Engagement Activity Status by,Engagement Activity Status by,Engagement Activity Status by,Engagement Activity Status by,211,Engagement Activity Status by,Engagement Activity Status by,Engagement Activity Status by,Engagement Activity Status by,Engagement Activity Status by
FinalStatus,FinalStatus,FinalStatus,FinalStatus,FinalStatus,212,FinalStatus,FinalStatus,FinalStatus,FinalStatus,FinalStatus
Touchpoint by Account Prioritization,Touchpoint by Account Prioritization,Touchpoint by Account Prioritization,Touchpoint by Account Prioritization,Touchpoint by Account Prioritization,213,Touchpoint by Account Prioritization,Touchpoint by Account Prioritization,Touchpoint by Account Prioritization,Touchpoint by Account Prioritization,Touchpoint by Account Prioritization
Classification,Classification,Classification,Classification,Classification,214,Classification,Classification,Classification,Classification,Classification
Prioritization,Prioritization,Prioritization,Prioritization,Prioritization,215,Prioritization,Prioritization,Prioritization,Prioritization,Prioritization
Row Crops,Row Crops,Row Crops,Row Crops,Row Crops,216,Row Crops,Row Crops,Row Crops,Row Crops,Row Crops
Crop Protection,Crop Protection,Crop Protection,Crop Protection,Crop Protection,217,Crop Protection,Crop Protection,Crop Protection,Crop Protection,Crop Protection
Select Target,Select Target,Select Target,Select Target,Select Target,218,Select Target,Select Target,Select Target,Select Target,Select Target
Target%,Target%,Target%,Target%,Target%,219,Target%,Target%,Target%,Target%,Target%
Group,Group,Group,Group,Group,220,Group,Group,Group,Group,Group
Farmer Customer Survey by Status by Region,Farmer Customer Survey by Status by Region,Farmer Customer Survey by Status by Region,Farmer Customer Survey by Status by Region,Farmer Customer Survey by Status by Region,221,Farmer Customer Survey by Status by Region,Farmer Customer Survey by Status by Region,Farmer Customer Survey by Status by Region,Farmer Customer Survey by Status by Region,Farmer Customer Survey by Status by Region
Region Name,Region Name,Region Name,Region Name,Region Name,222,Region Name,Region Name,Region Name,Region Name,Region Name
Progress to Target,Progress to Target,Progress to Target,Progress to Target,Progress to Target,223,Progress to Target,Progress to Target,Progress to Target,Progress to Target,Progress to Target
SHARE OF WALLET,SHARE OF WALLET,SHARE OF WALLET,SHARE OF WALLET,SHARE OF WALLET,224,SHARE OF WALLET,SHARE OF WALLET,SHARE OF WALLET,SHARE OF WALLET,SHARE OF WALLET
Sales Potential,Sales Potential,Sales Potential,Sales Potential,Sales Potential,225,Sales Potential,Sales Potential,Sales Potential,Sales Potential,Sales Potential
Farmer Customer Sales Potential & Opportunity by Product Group,Farmer Customer Sales Potential & Opportunity by Product Group,Farmer Customer Sales Potential & Opportunity by Product Group,Farmer Customer Sales Potential & Opportunity by Product Group,Farmer Customer Sales Potential & Opportunity by Product Group,226,Farmer Customer Sales Potential & Opportunity by Product Group,Farmer Customer Sales Potential & Opportunity by Product Group,Farmer Customer Sales Potential & Opportunity by Product Group,Farmer Customer Sales Potential & Opportunity by Product Group,Farmer Customer Sales Potential & Opportunity by Product Group
Sales Potential & Opportunity by,Sales Potential & Opportunity by,Sales Potential & Opportunity by,Sales Potential & Opportunity by,Sales Potential & Opportunity by,227,Sales Potential & Opportunity by,Sales Potential & Opportunity by,Sales Potential & Opportunity by,Sales Potential & Opportunity by,Sales Potential & Opportunity by
Farmer Customer,Farmer Customer,Farmer Customer,Farmer Customer,Farmer Customer,228,Farmer Customer,Farmer Customer,Farmer Customer,Farmer Customer,Farmer Customer
Select Product Group to Compare,Select Product Group to Compare,Select Product Group to Compare,Select Product Group to Compare,Select Product Group to Compare,229,Select Product Group to Compare,Select Product Group to Compare,Select Product Group to Compare,Select Product Group to Compare,Select Product Group to Compare
"SALES POTENTIAL & OPPORTUNITY ","SALES POTENTIAL & OPPORTUNITY ","SALES POTENTIAL & OPPORTUNITY ","SALES POTENTIAL & OPPORTUNITY ","SALES POTENTIAL & OPPORTUNITY ",230,"SALES POTENTIAL & OPPORTUNITY ","SALES POTENTIAL & OPPORTUNITY ","SALES POTENTIAL & OPPORTUNITY ","SALES POTENTIAL & OPPORTUNITY ","SALES POTENTIAL & OPPORTUNITY "
Total Offers,Total Offers,Total Offers,Total Offers,Total Offers,231,Total Offers,Total Offers,Total Offers,Total Offers,Total Offers
BCS ACCOUNT SHARE,BCS ACCOUNT SHARE,BCS ACCOUNT SHARE,BCS ACCOUNT SHARE,BCS ACCOUNT SHARE,232,BCS ACCOUNT SHARE,BCS ACCOUNT SHARE,BCS ACCOUNT SHARE,BCS ACCOUNT SHARE,BCS ACCOUNT SHARE
BCS Account Share,BCS Account Share,BCS Account Share,BCS Account Share,BCS Account Share,233,BCS Account Share,BCS Account Share,BCS Account Share,BCS Account Share,BCS Account Share
Farmer Customer BCS Account Share % by Product Group,Farmer Customer BCS Account Share % by Product Group,Farmer Customer BCS Account Share % by Product Group,Farmer Customer BCS Account Share % by Product Group,Farmer Customer BCS Account Share % by Product Group,234,Farmer Customer BCS Account Share % by Product Group,Farmer Customer BCS Account Share % by Product Group,Farmer Customer BCS Account Share % by Product Group,Farmer Customer BCS Account Share % by Product Group,Farmer Customer BCS Account Share % by Product Group
BCS Account Share % by,BCS Account Share % by,BCS Account Share % by,BCS Account Share % by,BCS Account Share % by,235,BCS Account Share % by,BCS Account Share % by,BCS Account Share % by,BCS Account Share % by,BCS Account Share % by
DYNAMIC CAPABILITY COMPARISON,DYNAMIC CAPABILITY COMPARISON,DYNAMIC CAPABILITY COMPARISON,DYNAMIC CAPABILITY COMPARISON,DYNAMIC CAPABILITY COMPARISON,236,DYNAMIC CAPABILITY COMPARISON,DYNAMIC CAPABILITY COMPARISON,DYNAMIC CAPABILITY COMPARISON,DYNAMIC CAPABILITY COMPARISON,DYNAMIC CAPABILITY COMPARISON
Primary Metric,Primary Metric,Primary Metric,Primary Metric,Primary Metric,237,Primary Metric,Primary Metric,Primary Metric,Primary Metric,Primary Metric
Secondary Metric,Secondary Metric,Secondary Metric,Secondary Metric,Secondary Metric,238,Secondary Metric,Secondary Metric,Secondary Metric,Secondary Metric,Secondary Metric
Granularity,Granularity,Granularity,Granularity,Granularity,239,Granularity,Granularity,Granularity,Granularity,Granularity
Dynamic Capability Comparison,Dynamic Capability Comparison,Dynamic Capability Comparison,Dynamic Capability Comparison,Dynamic Capability Comparison,240,Dynamic Capability Comparison,Dynamic Capability Comparison,Dynamic Capability Comparison,Dynamic Capability Comparison,Dynamic Capability Comparison
Engagement Resources,Engagement Resources,Engagement Resources,Engagement Resources,Engagement Resources,241,Engagement Resources,Engagement Resources,Engagement Resources,Engagement Resources,Engagement Resources
Engagement Activities,Engagement Activities,Engagement Activities,Engagement Activities,Engagement Activities,242,Engagement Activities,Engagement Activities,Engagement Activities,Engagement Activities,Engagement Activities
"By Status ","By Status ","By Status ","By Status ","By Status ",243,"By Status ","By Status ","By Status ","By Status ","By Status "
